recipe_id,ingredient_id,measure,unit_id,prep_notes,order_index
1,747,2.0,13,large,1
1,179,800.0,1,,2
1,748,3.0,9,,3
1,750,1.0,9,,4
1,284,3.0,9,,5
2,210,1.0,9,,1
2,537,1.0,4,,2
2,137,1.0,14,peeled crushed,3
2,142,1.0,9,,4
2,42,1.0,13,medium,5
2,496,3.0,13,chopped,6
2,411,3.0,10,,7
2,274,1.0,9,,8
2,491,1.0,9,,9
2,865,12.0,13,,10
2,209,1.0,13,for brushing,11
2,502,0.0,16,,12
2,866,0.0,16,,13
2,274,0.0,16,,14
3,236,900.0,1,,1
3,210,3.0,9,,2
3,340,1.0,13,chopped,3
3,137,1.0,14,peeled crushed,4
3,217,1.0,9,,5
3,292,1.0,9,,6
3,398,225.0,1,,7
3,14,0.0,16,,8
4,662,150.0,1,,1
4,442,200.0,1,,2
4,115,50.0,5,,3
4,138,1.0,13,,4
4,367,1.0,9,,5
5,623,300.0,1,,1
5,89,200.0,1,,2
5,36,200.0,1,,3
5,282,100.0,1,,4
5,111,2.0,13,,5
5,185,1.0,8,,6
5,637,1.0,13,,7
5,471,1.0,13,sprinkling,8
6,245,2.0,13,,1
6,341,4.0,13,,2
6,210,1.0,9,,3
6,137,4.0,14,chopped,4
6,170,1.0,13,chopped,5
6,260,0.0,16,,6
6,668,2.0,4,,7
6,260,1.0,8,,8
6,309,3.0,10,,9
6,210,4.0,9,,10
6,210,6.0,9,,11
7,309,1.0,10,,1
7,42,2.0,4,,2
7,210,5.0,9,,3
7,260,1.0,8,,4
7,24,0.5,8,,5
7,603,0.5,8,,6
7,157,0.5,8,,7
7,137,3.0,14,crushed,8
7,290,0.5,8,,9
7,16,1.0,13,,10
7,184,1.0,8,,11
8,396,3.0,13,,1
8,210,1.0,9,,2
8,244,1.0,9,chopped,3
8,137,1.0,14,peeled crushed,4
8,260,0.0,16,,5
8,229,0.0,16,,6
8,234,1.0,13,diced,7
9,483,1.0,4,,1
9,137,4.0,14,crushed,2
9,340,0.5,10,,3
9,260,0.0,16,,4
9,229,0.0,16,,5
9,234,3.0,13,,6
9,222,1.0,8,,7
9,309,0.5,10,,8
10,607,85.0,1,,1
10,471,85.0,1,,2
10,233,100.0,1,,3
10,45,100.0,1,,4
10,36,100.0,1,,5
10,146,1.0,9,,6
10,22,1.0,8,,7
11,197,200.0,13,ml,1
11,209,60.0,13,ml,2
11,112,2.0,13,,3
11,125,1600.0,1,,4
11,11,3.0,8,,5
11,260,0.5,8,,6
11,462,25.0,1,,7
11,282,45.0,1,,8
11,223,3.0,9,,9
12,233,120.0,1,,1
12,45,60.0,1,,2
12,36,60.0,1,,3
12,435,300.0,1,,4
12,36,30.0,1,,5
12,100,30.0,1,,6
12,433,120.0,1,,7
12,75,0.25,8,,8
12,167,0.0,16,,9
14,102,175.0,1,oz,1
14,36,75.0,1,oz,2
